FT-SS-01,FT-SS-02-a,FT-SS-02-b,FT-SS-02-c,FT-SS-02-d,FT-SS-02-e,FT-SS-03-a,FT-SS-03-b,FT-SS-03-c,FT-SS-04,FT-SS-05,FT-SS-06,FT-SS-07-a1,FT-SS-07-a2,FT-SS-07-b,FT-SS-07-c1,FT-SS-07-c2,FT-SS-07-d,FT-SS-07-e1,FT-SS-07-e2,FT-SS-07-f1,FT-SS-07-f2,FT-SS-07-f3,FT-SS-07-f4,FT-SS-07-g1,FT-SS-07-g2,FT-SS-07-g3,FT-SS-07-g4,FT-SS-07-g5,FT-SS-07-g6,FT-SS-07-g7,FT-SS-07-g8,FT-SS-07-h,FT-SS-08-a1,FT-SS-08-a2,FT-SS-08-a3,FT-SS-08-a4,FT-SS-08-b1,FT-SS-08-b2,FT-SS-08-b3,FT-SS-08-b4,FT-SS-08-c,FT-SS-09-a1,FT-SS-09-a2,FT-SS-09-a3,FT-SS-09-a4,FT-SS-09-a5,FT-SS-09-a6,FT-SS-09-a7,FT-SS-09-a8,FT-SS-09-b,FT-SS-09-c,FT-SS-10-a1,FT-SS-10-a2
Find all instances of the word 'DireWolf',Find all instances of the word 'WOLF' but Ignore Case,Find all instances of the word 'wolf' but Ignore Case,Find all instances of the word 'Wolf' but Ignore Case,Find all instances of the word 'DireWolf' but Ignore Case,Find all instances of the word 'WereWolf' but Ignore Case,Find only the word 'WOLF' but don't search substrings,Find only the word 'wolf' but don't search substrings,Find only the word 'Wolf' but don't search substrings,Find the word WereWolf and DireWolf,Find the word Were or Dire,Find the file contains the string fox and not tiger,Find the file contains the string 中国,Find the file contains the string 東京,Find the file contains the string 서울,Find the file contains the string スバル,Find the file contains the string みつびし,Find the file contains the string Сибирь,Find the file contains the string garçon,Find the file contains the string Schönheit,Find the file contains the string Россия,Find the file contains the string فللاف,Find the file contains the string 中國,  ,Find the file contains the string mañana,Find the file contains the string infinity,Find the files contains the string Mäuse,Find the files contains the string inﬂnity,Find the files contains the string Mäuse,Find the files contains the string libertà,Find the files contains the string liberta,Find the files contains the string mañana,Find the files contains the string سسكلكا,Find all the files contain the email address iron.man@marvel.com,Find all the files contain the email address potus@capitol.gov,Find all the files contain the email address berlin@deutchland.net,Find all the files contain the email address kbg@moscow.red.square.ru,Find all the files contain the number  (901)555-1111,Find all the files contain the number  301.555-9009,Find all the files contain the number  800-555-1122,Find all the files contain the number  202.555.3270,"Find all the Social
Security Numbers",Find a html document called longbow,Find a formatted word document called shotgun,Find a word shotgun in side a word document,Find a word document called peroxide,Find a word document called nitroglycerin,Find a word document called rifle,Find a web page called crossbow,Find a word document called flintlock,Find a word cañón in MFT and Log files,Find a word thunderbird in MFT and Log files,Find any word which Starts with D (uppercase) which have 8 letters ,Find any word which Starts with W which have 8 letters and 5th letter should be W
Search for occurrences of 'DireWolf' in the document,"Locate occurrences of ""WOLF"" regardless of capitalization.",Search for all occurrences of 'wolf' regardless of case.,Search for all occurrences of 'Wolf' regardless of case.,Locate every instance of 'DireWolf' without considering case. ,Search for all occurrences of 'WereWolf' regardless of case.,"Locate the standalone word ""WOLF"" without searching for substrings.","Search for the exact word 'wolf' only, no substrings.","Search for the exact word 'Wolf' only, no substrings.","Search for occurrences of both ""WereWolf"" and ""DireWolf"" within the text.",Search for the words 'Were' or 'Dire.',Search for files containing 'fox' but not 'tiger.',Search for files containing 中国,Search for files containing 東京,Search for files containing 서울,Search for files containing スバル,Search for files containing みつびし,Search for files containing Сибирь,Search for files containing garçon,Search for files containing Schönheit,Search for files containing Россия,Search for files containing فللاف,Search for files containing 中國,Search for files containing 'QuarterHorse.',Search for files containing mañana,Search for files containing 'infinity.',Search for files containing Mäuse,Find the file contains the string infinity,Search for files containing Mäuse,Search for files containing libertà,Search for files containing liberta,Search for files containing mañana,Search for files containing سسكلكا,Search for files containing 'iron.man@marvel.com.',Search for files containing 'potus@capitol.gov.',Search for files containing 'berlin@deutchland.net.',Search for files containing 'kbg@moscow.red.square.ru.',Search for files containing '(901)555-1111.',Search for files containing '301.555-9009.',Search for files containing '800-555-1122.',Search for files containing '202.555.3270.',Search for files containing Social Security Numbers.,Can you locate an HTML file named 'longbow'?,Search for a word document titled 'shotgun.',Search for the word 'shotgun' inside a document.,Search for a word document titled 'peroxide.',Search for a word document titled 'nitroglycerin.',Search for a word document titled 'rifle.',Search for a web page titled 'crossbow.',Search for a word document titled 'flintlock.',Search for the word cañón in MFT and Log files.,Search for the word 'thunderbird' in MFT and Log files.,Search for any word starting with 'D' and having 8 letters.,Search for any word starting with 'W' having 8 letters and the 5th letter 'W'.
Look for the word 'DireWolf' throughout the document,"Search for instances of ""WOLF"" without considering letter case.",Locate every instance of 'wolf' without considering case.,Locate every instance of 'Wolf' without considering case., Search for all occurrences of 'DireWolf' regardless of case.,Locate every instance of 'WereWolf' without considering case.,"Find instances of the word ""WOLF"" without considering it as part of longer words.","Find only the word 'wolf,' excluding substrings.","Find only the word 'Wolf,' excluding substrings.","Locate instances where both ""WereWolf"" and ""DireWolf"" are present.",Locate instances of the words 'Were' and 'Dire.',Locate files with 'fox' but excluding 'tiger.',Locate files with the string 中国,Locate files with the string 東京,Locate files with the string 서울,Locate files with the string スバル,Locate files with the string みつびし,Locate files with the string Сибирь,Locate files with the string garçon,Locate files with the string Schönheit,Locate files with the string Россия,Locate files with the string فللاف,Locate files with the string 中國,Locate files with the string 'QuarterHorse.',Locate files with the string mañana,Locate files with the string 'infinity.',Locate files with the string Mäuse,Search for files containing 'infinity.',Locate files with the string Mäuse,Locate files with the string libertà,Locate files with the string liberta,Locate files with the string mañana,Locate files with the string سسكلكا,Locate files with the string 'iron.man@marvel.com.',Locate files with the string 'potus@capitol.gov.',Locate files with the string 'berlin@deutchland.net.',Locate files with the string 'kbg@moscow.red.square.ru.',Locate files with the string '(901)555-1111.',Locate files with the string '301.555-9009.',Locate files with the string '800-555-1122.',Locate files with the string '202.555.3270.',Locate files with Social Security Numbers.,Could you fetch the HTML document called 'longbow' for me?,Locate the word document named 'shotgun.',Locate the term 'shotgun' in a word document.,Locate the word document named 'peroxide.',Locate the word document named 'nitroglycerin.',Locate the word document named 'rifle.',Locate the web page named 'crossbow.',Locate the word document named 'flintlock.',Locate the word cañón in MFT and Log files.,Locate the word 'thunderbird' in MFT and Log files.,Locate words that start with 'D' and have 8 letters.,"Locate words that start with 'W', have 8 letters, and the 5th letter is 'W'."
Identify any appearances of the term 'DireWolf',"Find all appearances of ""WOLF"" with case sensitivity disregarded.",Identify all appearances of the word 'wolf' ignoring case.,Identify all appearances of the word 'Wolf' ignoring case.,Identify all appearances of the word 'DireWolf' ignoring case.,Identify all appearances of the word 'WereWolf' ignoring case.,"Search specifically for the isolated word ""WOLF"" without including substrings.",Locate instances of 'wolf' as a whole word only.,Locate instances of 'Wolf' as a whole word only.,"Find occurrences of both ""WereWolf"" and ""DireWolf"" simultaneously.",Find occurrences of 'Were' or 'Dire.',Find files that have the string 'fox' and do not contain 'tiger.',Find files that have the string 中国,Find files that have the string 東京,Find files that have the string 서울,Find files that have the string スバル,Find files that have the string みつびし,Find files that have the string Сибирь,Find files that have the string garçon,Find files that have the string Schönheit,Find files that have the string Россия,Find files that have the string فللاف,Find files that have the string 中國,Find files that have the string 'QuarterHorse.',Find files that have the string mañana,Find files that have the string 'infinity.',Find files that have the string Mäuse,Locate files with the string 'infinity.',Find files that have the string Mäuse,Find files that have the string libertà,Find files that have the string liberta,Find files that have the string mañana,Find files that have the string سسكلكا,Find files that have the string 'iron.man@marvel.com.',Find files that have the string 'potus@capitol.gov.',Find files that have the string 'berlin@deutchland.net.',Find files that have the string 'kbg@moscow.red.square.ru.',Find files that have the string '(901)555-1111.',Find files that have the string '301.555-9009.',Find files that have the string '800-555-1122.',Find files that have the string '202.555.3270.',Find files that have Social Security Numbers.,Please find the HTML file named 'longbow.',Find the word document with the name 'shotgun.',Find the word 'shotgun' within a document.,Find the word document with the name 'peroxide.',Find the word document with the name 'nitroglycerin.',Find the word document with the name 'rifle.',Find the web page with the name 'crossbow.',Find the word document with the name 'flintlock.',Find the term cañón in MFT and Log files.,Find the term 'thunderbird' in MFT and Log files.,Find words beginning with 'D' and containing 8 letters.,Find words beginning with 'W' that are 8 letters long and the 5th letter is 'W'.
Determine if the word 'DireWolf' is present in the file,"Discover every occurrence of the word ""WOLF"" irrespective of its casing.",Find each occurrence of 'wolf' with case insensitivity.,Find each occurrence of 'Wolf' with case insensitivity.,Find each occurrence of 'DireWolf' with case insensitivity.,Find each occurrence of 'WereWolf' with case insensitivity.,"Identify occurrences of ""WOLF"" as a standalone word, excluding substrings.",Identify occurrences of 'wolf' without including substrings.,Identify occurrences of 'Wolf' without including substrings.,"Identify places where ""WereWolf"" and ""DireWolf"" coexist in the text.",Identify the words 'Were' or 'Dire.',Identify files with 'fox' and not 'tiger.',Identify files containing 中国,Identify files containing 東京,Identify files containing 서울,Identify files containing スバル,Identify files containing みつびし,Identify files containing Сибирь,Identify files containing garçon,Identify files containing Schönheit,Identify files containing Россия,Identify files containing فللاف,Identify files containing 中國,Identify files containing 'QuarterHorse.',Identify files containing mañana,Identify files containing 'infinity.',Identify files containing Mäuse,Find files that have the string 'infinity.',Identify files containing Mäuse,Identify files containing libertà,Identify files containing liberta,Identify files containing mañana,Identify files containing سسكلكا,Identify files containing 'iron.man@marvel.com.',Identify files containing 'potus@capitol.gov.',Identify files containing 'berlin@deutchland.net.',Identify files containing 'kbg@moscow.red.square.ru.',Identify files containing '(901)555-1111.',Identify files containing '301.555-9009.',Identify files containing '800-555-1122.',Identify files containing '202.555.3270.',Identify files containing Social Security Numbers.,Retrieve the HTML document titled 'longbow.',Identify the word document called 'shotgun.',Identify instances of 'shotgun' in a word document.,Identify the word document called 'peroxide.',Identify the word document called 'nitroglycerin.',Identify the word document called 'rifle.',Identify the web page called 'crossbow.',Identify the word document called 'flintlock.',Identify the word cañón in MFT and Log files.,Identify the word 'thunderbird' in MFT and Log files.,Identify words that start with 'D' and are 8 letters long.,Identify words starting with 'W' with 8 letters where the 5th letter is 'W'.
Find all occurrences of the term 'DireWolf' in the document,"Identify all cases of ""WOLF"" while disregarding upper or lower case.",Search and find all instances of 'wolf' case-insensitively.,Search and find all instances of 'Wolf' case-insensitively.,Search and find all instances of 'DireWolf' case-insensitively.,Search and find all instances of 'WereWolf' case-insensitively.,"Locate instances of ""WOLF"" without including it within larger words.","Search exclusively for the word 'wolf,' ignoring substrings.","Search exclusively for the word 'Wolf,' ignoring substrings.","Search for the words ""WereWolf"" and ""DireWolf"" occurring together.",Search for 'Were' and 'Dire.',Search files for the string 'fox' and ensure 'tiger' is absent.,Search for documents with 中国,Search for documents with 東京,Search for documents with 서울,Search for documents with スバル,Search for documents with みつびし,Search for documents with Сибирь,Search for documents with garçon,Search for documents with Schönheit,Search for documents with Россия,Search for documents with فللاف,Search for documents with 中國,Search for documents with 'QuarterHorse.',Search for documents with mañana,Search for documents with 'infinity.',Search for documents with Mäuse,Identify files containing 'infinity.',Search for documents with Mäuse,Search for documents with libertà,Search for documents with liberta,Search for documents with mañana,Search for documents with سسكلكا,Search for documents with 'iron.man@marvel.com.',Search for documents with 'potus@capitol.gov.',Search for documents with 'berlin@deutchland.net.',Search for documents with 'kbg@moscow.red.square.ru.',Search for documents with '(901)555-1111.',Search for documents with '301.555-9009.',Search for documents with '800-555-1122.',Search for documents with '202.555.3270.',Search for documents with Social Security Numbers.,Locate the HTML file known as 'longbow.',Search for a word file named 'shotgun.',Search for 'shotgun' in a word document.,Search for a word file named 'peroxide.',Search for a word file named 'nitroglycerin.',Search for a word file named 'rifle.',Search for a website named 'crossbow.',Search for a word file named 'flintlock.',Search for instances of cañón in MFT and Log files.,Search for instances of 'thunderbird' in MFT and Log files.,Search for words with 8 letters that start with 'D'.,Search for words with 8 letters that start with 'W' and have 'W' as the 5th letter.
Check if the word 'DireWolf' appears in the file,"Locate every instance of ""WOLF"" without sensitivity to capitalization.",Locate all mentions of 'wolf' irrespective of case.,Locate all mentions of 'Wolf' irrespective of case.,Locate all mentions of 'DireWolf' irrespective of case.,Locate all mentions of 'WereWolf' irrespective of case.,"Find only the word ""WOLF"" without considering it as part of other words.",Find 'wolf' as a standalone word only.,Find 'Wolf' as a standalone word only.,"Look for instances where both ""WereWolf"" and ""DireWolf"" are mentioned.",Find the word 'Were' or 'Dire.',Locate files where 'fox' appears but 'tiger' does not.,Locate instances of the string 中国 in files.,Locate instances of the string 東京 in files.,Locate instances of the string 서울 in files.,Locate instances of the string スバル in files.,Locate instances of the string みつびし in files.,Locate instances of the string Сибирь in files.,Locate instances of the string garçon in files.,Locate instances of the string Schönheit in files.,Locate instances of the string Россия in files.,Locate instances of the string فللاف in files.,Locate instances of the string 中國 in files.,Locate instances of the string 'QuarterHorse' in files.,Locate instances of the string mañana in files.,Locate instances of the string 'infinity' in files.,Locate instances of the string Mäuse in files.,Search for documents with 'infinity.',Locate instances of the string Mäuse in files.,Locate instances of the string libertà in files.,Locate instances of the string liberta in files.,Locate instances of the string mañana in files.,Locate instances of the string سسكلكا in files.,Locate instances of the string 'iron.man@marvel.com' in files.,Locate instances of the string 'potus@capitol.gov' in files.,Locate instances of the string 'berlin@deutchland.net' in files.,Locate instances of the string 'kbg@moscow.red.square.ru' in files.,Locate instances of the string '(901)555-1111' in files.,Locate instances of the string '301.555-9009' in files.,Locate instances of the string '800-555-1122' in files.,Locate instances of the string '202.555.3270' in files.,Locate instances of Social Security Numbers in files.,Can you get the HTML file called 'longbow'?,Locate a document titled 'shotgun.',Locate documents containing the word 'shotgun.',Locate a document titled 'peroxide.',Locate a document titled 'nitroglycerin.',Locate a document titled 'rifle.',Locate a web page titled 'crossbow.',Locate a document titled 'flintlock.',Locate occurrences of cañón in MFT and Log files.,Locate occurrences of 'thunderbird' in MFT and Log files.,Locate any word starting with 'D' and 8 letters long.,Locate words that start with 'W' and have 'W' as the 5th letter in 8-letter words.
Search the document for occurrences of 'DireWolf',"Search for ""WOLF"" occurrences without distinguishing between upper and lower case.","Identify all the times 'wolf' appears, case ignored.","Identify all the times 'Wolf' appears, case ignored.","Identify all the times 'DireWolf' appears, case ignored.","Identify all the times 'WereWolf' appears, case ignored.","Search for the standalone term ""WOLF"" without treating it as a substring.",Locate the word 'wolf' without considering parts of other words.,Locate the word 'Wolf' without considering parts of other words.,"Discover occurrences containing both ""WereWolf"" and ""DireWolf.""",Locate occurrences of 'Were' and 'Dire.',Find documents with 'fox' without the string 'tiger.',Find occurrences of 中国 in documents.,Find occurrences of 東京 in documents.,Find occurrences of 서울 in documents.,Find occurrences of スバル in documents.,Find occurrences of みつびし in documents.,Find occurrences of Сибирь in documents.,Find occurrences of garçon in documents.,Find occurrences of Schönheit in documents.,Find occurrences of Россия in documents.,Find occurrences of فللاف in documents.,Find occurrences of 中國 in documents.,Find occurrences of 'QuarterHorse' in documents.,Find occurrences of mañana in documents.,Find occurrences of 'infinity' in documents.,Find occurrences of Mäuse in documents.,Locate instances of the string 'infinity' in files.,Find occurrences of Mäuse in documents.,Find occurrences of libertà in documents.,Find occurrences of liberta in documents.,Find occurrences of mañana in documents.,Find occurrences of سسكلكا in documents.,Find occurrences of 'iron.man@marvel.com' in documents.,Find occurrences of 'potus@capitol.gov' in documents.,Find occurrences of 'berlin@deutchland.net' in documents.,Find occurrences of 'kbg@moscow.red.square.ru' in documents.,Find occurrences of '(901)555-1111' in documents.,Find occurrences of '301.555-9009' in documents.,Find occurrences of '800-555-1122' in documents.,Find occurrences of '202.555.3270' in documents.,Find occurrences of Social Security Numbers in documents.,Please provide the HTML document named 'longbow.',Find the document called 'shotgun.',Find documents that have the word 'shotgun' inside.,Find the document called 'peroxide.',Find the document called 'nitroglycerin.',Find the document called 'rifle.',Find the website called 'crossbow.',Find the document called 'flintlock.',Find all mentions of cañón in MFT and Log files.,Find all mentions of 'thunderbird' in MFT and Log files.,Find any word beginning with 'D' and having 8 letters.,"Find any word beginning with 'W', 8 letters long, with 'W' as the 5th letter."
Locate instances of the word 'DireWolf' in the document,"Find all examples of ""WOLF"" without differentiating between uppercase and lowercase.","Find 'wolf' wherever it appears, case not considered.","Find 'Wolf' wherever it appears, case not considered.","Find 'DireWolf' wherever it appears, case not considered.","Find 'WereWolf' wherever it appears, case not considered.","Discover occurrences of ""WOLF"" as a distinct word, not part of substrings.",Identify instances of 'wolf' without matching substrings.,Identify instances of 'Wolf' without matching substrings.,"Find instances where ""WereWolf"" and ""DireWolf"" are both used.",Identify instances of 'Were' or 'Dire.',Identify files containing 'fox' but lacking 'tiger.',Identify files that contain 中国,Identify files that contain 東京,Identify files that contain 서울,Identify files that contain スバル,Identify files that contain みつびし,Identify files that contain Сибирь,Identify files that contain garçon,Identify files that contain Schönheit,Identify files that contain Россия,Identify files that contain فللاف,Identify files that contain 中國,Identify files that contain 'QuarterHorse.',Identify files that contain mañana,Identify files that contain 'infinity.',Identify files that contain Mäuse,Find occurrences of 'infinity' in documents.,Identify files that contain Mäuse,Identify files that contain libertà,Identify files that contain liberta,Identify files that contain mañana,Identify files that contain سسكلكا,Identify files that contain 'iron.man@marvel.com.',Identify files that contain 'potus@capitol.gov.',Identify files that contain 'berlin@deutchland.net.',Identify files that contain 'kbg@moscow.red.square.ru.',Identify files that contain '(901)555-1111.',Identify files that contain '301.555-9009.',Identify files that contain '800-555-1122.',Identify files that contain '202.555.3270.',Identify files that contain Social Security Numbers.,Find the HTML file with the name 'longbow.',Identify the word file named 'shotgun.',Identify documents with the word 'shotgun.',Identify the word file named 'peroxide.',Identify the word file named 'nitroglycerin.',Identify the word file named 'rifle.',Identify the website named 'crossbow.',Identify the word file named 'flintlock.',Identify instances of cañón in MFT and Log files.,Identify instances of 'thunderbird' in MFT and Log files.,Identify any word starting with 'D' and having 8 characters.,Identify words starting with 'W' and having 'W' as the 5th letter in 8-letter words.
Look for the term 'DireWolf' throughout the file,"Locate occurrences of ""WOLF"" while ignoring case sensitivity.",Search for the word 'wolf' without case sensitivity.,Search for the word 'Wolf' without case sensitivity.,Search for the word 'DireWolf' without case sensitivity.,Search for the word 'WereWolf' without case sensitivity.,"Locate the word ""WOLF"" individually without considering it within other words.","Search for 'wolf' as an entire word, not part of another word.","Search for 'Wolf' as an entire word, not part of another word.","Search for occurrences where both ""WereWolf"" and ""DireWolf"" are present.",Search and find the words 'Were' and 'Dire.',Search for files with 'fox' but without 'tiger.',Search files for the string 中国,Search files for the string 東京,Search files for the string 서울,Search files for the string スバル,Search files for the string みつびし,Search files for the string Сибирь,Search files for the string garçon,Search files for the string Schönheit,Search files for the string Россия,Search files for the string فللاف,Search files for the string 中國,Search files for the string 'QuarterHorse.',Search files for the string mañana,Search files for the string 'infinity.',Search files for the string Mäuse,Identify files that contain 'infinity.',Search files for the string Mäuse,Search files for the string libertà,Search files for the string liberta,Search files for the string mañana,Search files for the string سسكلكا,Search files for the string 'iron.man@marvel.com.',Search files for the string 'potus@capitol.gov.',Search files for the string 'berlin@deutchland.net.',Search files for the string 'kbg@moscow.red.square.ru.',Search files for the string '(901)555-1111.',Search files for the string '301.555-9009.',Search files for the string '800-555-1122.',Search files for the string '202.555.3270.',Search files for Social Security Numbers.,Can you pull up the HTML document called 'longbow'?,Search for a file titled 'shotgun.',Search for files containing 'shotgun' in a document.,Search for a file titled 'peroxide.',Search for a file titled 'nitroglycerin.',Search for a file titled 'rifle.',Search for a site titled 'crossbow.',Search for a file titled 'flintlock.',Search for files containing cañón in MFT and Log files.,Search for files containing 'thunderbird' in MFT and Log files.,Search for words that begin with 'D' and are 8 characters long.,Search for 8-letter words that start with 'W' and have 'W' as the 5th letter.
